Model,PromptType,PC,CC,PBC,GC,RR,NGC,NBC,GSA,BSA,TSR
claude-sonnet-4,NoHints,5.17,1.88,1.52,3.86,0.00,2.21,1.21,0.41,1.76,6.90
claude-sonnet-4,WithHintsAndRemarks,3.41,1.40,1.61,0.03,0.00,0.03,0.00,0.38,1.72,65.52
claude-sonnet-4,WithHints,5.14,1.82,1.27,2.00,0.00,1.90,0.07,0.00,2.00,0.00
deepseek-chat-v3-0324:free,NoHints,3.64,1.86,2.01,0.50,0.00,1.00,1.25,0.25,2.29,0.00
deepseek-chat-v3-0324:free,WithHints,3.54,1.85,1.97,0.00,0.00,0.25,1.21,0.25,3.36,50.00
deepseek-chat-v3-0324:free,WithHintsAndRemarks,3.57,1.40,2.08,0.30,0.00,0.37,1.03,0.47,3.47,80.00
gpt-4.1,WithHints,4.23,2.06,1.71,4.23,0.03,1.70,0.90,0.13,1.13,63.33
gpt-4.1,WithHintsAndRemarks,4.47,2.00,1.36,4.37,0.00,1.57,0.07,0.00,0.57,80.00
gpt-4.1,NoHints,3.53,2.65,1.91,3.53,0.00,1.20,1.03,0.37,1.87,0.00
gemini-2.5-flash,NoHints,3.14,1.63,1.49,3.14,0.03,0.17,0.31,0.31,2.17,0.00
gemini-2.5-flash,WithHints,4.82,1.48,1.53,4.79,0.64,0.71,1.79,0.54,2.86,0.00
gemini-2.5-flash,WithHintsAndRemarks,4.04,1.13,1.13,3.96,0.00,0.86,0.18,0.18,1.75,10.71
